user_id,message
u004,Transazioni super fluide e nessun problema finora
u009,Can’t access statements since the last update please fix it soon
u002,Das neue Bonusprogramm ist fantastisch ich liebe es wie einfach man Punkte sammeln kann
u007,Pare de mostrar dicas de investimento irrelevantes isso não faz sentido
u005,This platform froze my account for no reason and I can’t access my funds
u010,Love the new dashboard design very clean and informative
u001,Customer service takes forever to reply to simple questions
u008,Fast verification and no hidden charges impressive
u003,You guys really need to improve your customer support channels
u006,Gracias por reducir las tarifas de transferencia es realmente útil
u001,This banking app keeps crashing every time I try to transfer money
u009,Every update makes the app slower please fix it
u004,Mi carta di credito è stata approvata in pochi minuti processo eccellente
u002,Tolle Erfahrung mit der mobilen App sehr intuitiv und schnell
u007,Sua plataforma de negociação fica travando durante o horário do mercado é muito frustrante
u003,Hidden fees everywhere very disappointing
u010,Best online banking experience I’ve had in years keep it up
u005,I’ve been waiting for my refund for 3 weeks still no response
u006,Me encanta lo transparentes que son las tasas de interés buen trabajo
u008,Interest rates are competitive and deposits clear fast
u004,Transazioni super fluide e nessun problema finora
u009,Can’t access statements since the last update please fix it soon
u002,Das neue Bonusprogramm ist fantastisch ich liebe es wie einfach man Punkte sammeln kann
u007,Pare de mostrar dicas de investimento irrelevantes isso não faz sentido
u005,This platform froze my account for no reason and I can’t access my funds
u010,Love the new dashboard design very clean and informative
u001,Customer service takes forever to reply to simple questions
u008,Fast verification and no hidden charges impressive
u003,You guys really need to improve your customer support channels
u006,Gracias por reducir las tarifas de transferencia es realmente útil
u001,This banking app keeps crashing every time I try to transfer money
u009,Every update makes the app slower please fix it
u004,Mi carta di credito è stata approvata in pochi minuti processo eccellente
u002,Tolle Erfahrung mit der mobilen App sehr intuitiv und schnell
u007,Sua plataforma de negociação fica travando durante o horário do mercado é muito frustrante
u003,Hidden fees everywhere very disappointing
u010,Best online banking experience I’ve had in years keep it up
u005,I’ve been waiting for my refund for 3 weeks still no response
u006,Me encanta lo transparentes que son las tasas de interés buen trabajo
u008,Interest rates are competitive and deposits clear fast
u004,Transazioni super fluide e nessun problema finora
u009,Can’t access statements since the last update please fix it soon
u002,Das neue Bonusprogramm ist fantastisch ich liebe es wie einfach man Punkte sammeln kann
u007,Pare de mostrar dicas de investimento irrelevantes isso não faz sentido
u005,This platform froze my account for no reason and I can’t access my funds
u010,Love the new dashboard design very clean and informative
u001,Customer service takes forever to reply to simple questions
u008,Fast verification and no hidden charges impressive
u003,You guys really need to improve your customer support channels
u006,Gracias por reducir las tarifas de transferencia es realmente útil
u001,This banking app keeps crashing every time I try to transfer money
u009,Every update makes the app slower please fix it
u004,Mi carta di credito è stata approvata in pochi minuti processo eccellente
u002,Tolle Erfahrung mit der mobilen App sehr intuitiv und schnell
u007,Sua plataforma de negociação fica travando durante o horário do mercado é muito frustrante
u003,Hidden fees everywhere very disappointing
u010,Best online banking experience I’ve had in years keep it up
u005,I’ve been waiting for my refund for 3 weeks still no response
u006,Me encanta lo transparentes que son las tasas de interés buen trabajo
u008,Interest rates are competitive and deposits clear fast
u004,Transazioni super fluide e nessun problema finora
u009,Can’t access statements since the last update please fix it soon
u002,Das neue Bonusprogramm ist fantastisch ich liebe es wie einfach man Punkte sammeln kann
u007,Pare de mostrar dicas de investimento irrelevantes isso não faz sentido
u005,This platform froze my account for no reason and I can’t access my funds
u010,Love the new dashboard design very clean and informative
u001,Customer service takes forever to reply to simple questions
u008,Fast verification and no hidden charges impressive
u003,You guys really need to improve your customer support channels
u006,Gracias por reducir las tarifas de transferencia es realmente útil
u001,This banking app keeps crashing every time I try to transfer money
u009,Every update makes the app slower please fix it
u004,Mi carta di credito è stata approvata in pochi minuti processo eccellente
u002,Tolle Erfahrung mit der mobilen App sehr intuitiv und schnell
u007,Sua plataforma de negociação fica travando durante o horário do mercado é muito frustrante
u003,Hidden fees everywhere very disappointing
u010,Best online banking experience I’ve had in years keep it up
u005,I’ve been waiting for my refund for 3 weeks still no response
u006,Me encanta lo transparentes que son las tasas de interés buen trabajo
u008,Interest rates are competitive and deposits clear fast
u004,Transazioni super fluide e nessun problema finora
u009,Can’t access statements since the last update please fix it soon
u002,Das neue Bonusprogramm ist fantastisch ich liebe es wie einfach man Punkte sammeln kann
u007,Pare de mostrar dicas de investimento irrelevantes isso não faz sentido
u005,This platform froze my account for no reason and I can’t access my funds
u010,Love the new dashboard design very clean and informative
u001,Customer service takes forever to reply to simple questions
u008,Fast verification and no hidden charges impressive
u003,You guys really need to improve your customer support channels
u006,Gracias por reducir las tarifas de transferencia es realmente útil
u001,This banking app keeps crashing every time I try to transfer money
u009,Every update makes the app slower please fix it
u004,Mi carta di credito è stata approvata in pochi minuti processo eccellente
u002,Tolle Erfahrung mit der mobilen App sehr intuitiv und schnell
u007,Sua plataforma de negociação fica travando durante o horário do mercado é muito frustrante
u003,Hidden fees everywhere very disappointing
u010,Best online banking experience I’ve had in years keep it up
u005,I’ve been waiting for my refund for 3 weeks still no response
u006,Me encanta lo transparentes que son las tasas de interés buen trabajo
u008,Interest rates are competitive and deposits clear fast
u004,Transazioni super fluide e nessun problema finora
u009,Can’t access statements since the last update please fix it soon
u002,Das neue Bonusprogramm ist fantastisch ich liebe es wie einfach man Punkte sammeln kann
u007,Pare de mostrar dicas de investimento irrelevantes isso não faz sentido
u005,This platform froze my account for no reason and I can’t access my funds
u010,Love the new dashboard design very clean and informative
u001,Customer service takes forever to reply to simple questions
u008,Fast verification and no hidden charges impressive
u003,You guys really need to improve your customer support channels
u006,Gracias por reducir las tarifas de transferencia es realmente útil
u001,This banking app keeps crashing every time I try to transfer money
u009,Every update makes the app slower please fix it
u004,Mi carta di credito è stata approvata in pochi minuti processo eccellente
u002,Tolle Erfahrung mit der mobilen App sehr intuitiv und schnell
u007,Sua plataforma de negociação fica travando durante o horário do mercado é muito frustrante
u003,Hidden fees everywhere very disappointing
